session_id,label,f1,f2,f3,f4,f5,roll,pitch,yaw,gx,gy,gz
pronoun1,We,102,135,154,0,60,6660,16164,2536,1186,-3680,-2055
pronoun1,We,138,131,124,0,55,6628,16044,1672,-502,-794,-279
pronoun1,We,160,121,157,0,48,6720,15608,2340,-446,2126,1390
pronoun1,We,192,120,128,0,38,7236,14488,2920,888,4481,1179
pronoun1,We,161,124,199,0,47,6504,15376,3836,-1036,6239,1339
pronoun1,We,162,134,161,0,51,5204,14656,4604,-2039,4558,1562
pronoun1,We,154,186,158,0,42,5568,15380,4384,-276,2538,1985
pronoun1,We,159,177,176,0,27,5584,14152,4736,-479,2508,667
pronoun1,We,192,206,190,0,20,5720,14540,5696,414,667,-27
pronoun1,We,208,192,187,0,34,5804,14956,6048,-451,-1918,-167
pronoun1,We,185,188,187,0,23,5760,13564,5580,-1116,-4524,-1070
pronoun1,We,205,137,212,0,54,7160,15512,5016,-277,-4272,-1191
pronoun1,We,191,177,225,0,58,7236,14816,4368,-2064,-2518,-711
pronoun1,We,218,128,184,0,41,7080,15188,3516,-887,14,611
pronoun1,We,208,128,190,0,45,6724,14988,3740,-1595,3068,1720
pronoun1,We,182,138,162,0,41,6304,13908,4524,-1300,4896,2031
pronoun1,We,187,156,169,0,37,5428,14340,6064,-823,4713,1809
pronoun1,We,195,144,181,0,53,5244,14224,6008,448,4490,1225
pronoun1,We,238,135,176,0,62,4884,14008,6360,362,3505,591
pronoun1,We,199,149,177,0,54,4852,13848,7016,2177,1988,121
pronoun1,We,227,144,201,0,73,5344,14584,7388,-244,-1421,158
pronoun1,We,243,127,199,0,71,5740,14772,6552,-1158,-2509,484
pronoun1,We,243,131,212,0,80,5360,13776,6248,1569,-4601,434
pronoun1,We,256,106,209,0,64,5484,14528,4704,2330,-6353,-1
pronoun1,We,206,98,199,0,51,6468,14984,3840,1836,-5805,-290
pronoun1,We,209,82,189,0,51,7280,16676,2520,-1905,-4557,354
pronoun1,We,208,82,201,0,76,8060,14572,2504,-684,-916,1789
pronoun1,We,235,103,187,0,75,7532,14708,3040,-2091,1916,2117
pronoun1,We,220,119,199,0,42,7536,13396,3320,-95,2923,1953
pronoun1,We,231,128,186,0,47,8320,13708,4536,-919,3463,994
pronoun1,We,241,115,217,0,45,8132,13736,5748,202,3320,592
pronoun1,We,210,128,241,0,48,7448,12756,6600,2015,408,330
pronoun1,We,240,134,211,0,37,7780,14668,4872,-414,-308,606
pronoun1,We,205,207,179,0,51,6464,13928,5648,-157,-2588,-16
pronoun1,We,217,140,176,0,48,6904,14180,4400,640,-4367,-267
pronoun1,We,223,166,186,0,29,7244,15052,3104,-341,-4070,-595
pronoun1,We,227,159,176,0,29,7972,14092,2476,-38,-3008,-346
pronoun1,We,178,213,172,0,1,7732,14376,2020,-181,-1957,601
pronoun1,We,204,226,172,0,0,8332,14424,2132,343,-99,1089
pronoun1,We,174,225,192,0,0,8568,14368,2428,127,1435,1624
pronoun1,We,187,225,153,0,18,8636,13672,2800,959,2274,2112
pronoun1,We,177,176,85,0,23,8444,13916,3984,-1316,2655,1879
pronoun1,We,173,198,0,0,115,8108,12848,4548,-346,1107,946
pronoun1,We,131,174,0,0,127,8640,14016,4032,-802,-423,224
pronoun1,We,142,190,0,0,96,8144,13272,4560,-774,-1059,-167
pronoun1,We,141,194,0,0,128,8444,13392,3484,-13,-2674,-433
pronoun1,We,141,203,15,0,54,8624,13988,2380,1183,-2690,-68
pronoun1,We,143,176,0,0,113,8684,14292,2164,-708,-1582,-178
pronoun1,We,154,213,0,0,122,8788,13988,1748,-321,-685,-172
pronoun1,We,189,186,0,0,98,8892,14012,1736,-224,819,708
pronoun1,We,127,213,0,0,117,8700,14448,3076,-484,1328,1587
pronoun1,We,123,205,0,0,135,9036,12476,2788,-2,-192,2067
pronoun1,We,101,179,0,0,63,9304,13224,2836,-803,1058,2255
pronoun1,We,112,176,2,0,77,9344,13532,3496,629,-1123,663
pronoun1,We,162,174,6,0,6,9460,12836,3624,1075,-776,-477
pronoun1,We,141,173,37,0,63,8648,13256,3156,-898,-2582,-1129
pronoun1,We,128,194,0,0,85,8824,14420,1516,597,-3861,-1020
pronoun1,We,143,226,0,0,1,9308,13700,824,1152,-3079,-50
