session_id,label,flex1,flex2,flex3,flex4,flex5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
gesture1,Hello,0,0,0,0,0,11196,2632,10152,2926,10138,9392
gesture1,Hello,0,0,0,0,0,10972,2556,10520,2957,10275,9151
gesture1,Hello,0,0,0,0,0,10496,2336,10616,3041,10372,8843
gesture1,Hello,0,0,0,0,0,10184,2108,10548,3260,10493,8535
gesture1,Hello,0,0,0,0,0,10020,1884,11028,3467,10573,8217
gesture1,Hello,0,0,0,0,0,9996,1624,11512,3618,10646,7918
gesture1,Hello,0,0,0,0,0,9800,1508,11528,3674,10761,7660
gesture1,Hello,0,0,0,0,0,9700,1436,11748,3671,10742,7327
gesture1,Hello,0,0,0,0,0,9428,1384,11812,3623,10708,6825
gesture1,Hello,0,0,0,0,0,9384,1188,12316,3728,10769,6262
gesture1,Hello,0,0,0,0,0,9320,936,12508,3884,10721,5699
gesture1,Hello,0,0,0,0,0,9072,852,13256,4000,10684,5217
gesture1,Hello,0,0,0,0,0,8908,612,13648,4074,10660,4759
gesture1,Hello,0,0,0,0,0,8448,492,14236,4075,10503,4297
gesture1,Hello,0,0,0,0,0,8072,544,14936,3999,10186,3877
gesture1,Hello,0,0,0,0,0,7668,608,15836,3714,9675,3425
gesture1,Hello,0,0,0,0,0,7232,796,16696,3160,9002,2901
gesture1,Hello,0,0,0,0,0,6824,748,17564,2413,8111,2244
gesture1,Hello,0,0,0,0,0,6572,808,18300,1571,6991,1533
gesture1,Hello,0,0,0,0,0,6336,956,19404,675,5702,785
gesture1,Hello,0,0,0,0,0,6212,636,19836,-213,4288,8
gesture1,Hello,0,0,0,0,0,6132,544,20568,-994,2777,-839
gesture1,Hello,0,0,0,0,0,6232,432,20700,-1682,1157,-1617
gesture1,Hello,0,0,0,0,0,6376,188,20956,-1963,-489,-2322
gesture1,Hello,0,0,0,0,0,6552,136,21044,-2065,-2211,-2986
gesture1,Hello,0,0,0,0,0,6688,204,20732,-1942,-3916,-3615
gesture1,Hello,0,0,0,0,0,6844,296,20468,-1699,-5575,-4168
gesture1,Hello,0,0,0,0,0,7072,636,19904,-1456,-7162,-4661
gesture1,Hello,0,0,0,0,0,7448,1120,19324,-1505,-8617,-5072
gesture1,Hello,0,0,0,0,0,7532,1556,18516,-1826,-9882,-5439
gesture1,Hello,0,0,0,0,0,7688,1980,17924,-2268,-10979,-5789
gesture1,Hello,0,0,0,0,0,7856,2476,17184,-2728,-11954,-6094
